Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,null,null,null,null,null,null
2018-06-26,2447.000000,2447.000000,2447.000000,2447.000000,2375.114014,0
2018-06-27,2455.000000,2480.000000,2455.000000,2480.000000,2407.144531,900
2018-06-28,2480.000000,2480.000000,2454.000000,2457.000000,2384.820068,600
2018-06-29,2479.000000,2479.000000,2444.000000,2450.000000,2378.025879,3200
2018-07-02,2431.000000,2431.000000,2400.000000,2427.000000,2355.701416,6600
2018-07-03,2404.000000,2426.000000,2386.000000,2398.000000,2327.553467,12100
2018-07-04,2398.000000,2398.000000,2360.000000,2363.000000,2293.581543,3300
2018-07-05,2363.000000,2363.000000,2261.000000,2280.000000,2213.020020,5900
2018-07-06,2263.000000,2284.000000,2261.000000,2261.000000,2194.578125,4900
2018-07-09,2291.000000,2291.000000,2266.000000,2266.000000,2199.431152,1400
2018-07-10,2278.000000,2343.000000,2278.000000,2343.000000,2274.169189,700
2018-07-11,2343.000000,2348.000000,2340.000000,2340.000000,2271.257324,1300
2018-07-12,2340.000000,2470.000000,2340.000000,2440.000000,2368.319580,5200
2018-07-13,2518.000000,2533.000000,2465.000000,2466.000000,2393.555664,8900
2018-07-16,2466.000000,2466.000000,2466.000000,2466.000000,2393.555664,0
2018-07-17,2366.000000,2405.000000,2366.000000,2397.000000,2326.582764,5500
2018-07-18,2423.000000,2423.000000,2390.000000,2413.000000,2342.112793,800
2018-07-19,2385.000000,2438.000000,2385.000000,2408.000000,2337.259766,1000
2018-07-20,2401.000000,2401.000000,2400.000000,2401.000000,2330.465332,900
2018-07-23,2397.000000,2463.000000,2397.000000,2458.000000,2385.790771,2700
2018-07-24,2458.000000,2458.000000,2458.000000,2458.000000,2385.790771,0
2018-07-25,2428.000000,2431.000000,2413.000000,2425.000000,2353.760254,1300
2018-07-26,2475.000000,2475.000000,2419.000000,2426.000000,2354.730957,2700
2018-07-27,2426.000000,2427.000000,2400.000000,2401.000000,2330.465332,900
2018-07-30,2401.000000,2439.000000,2401.000000,2439.000000,2367.348877,2800
2018-07-31,2439.000000,2439.000000,2368.000000,2400.000000,2329.494629,3700
2018-08-01,2390.000000,2390.000000,2367.000000,2367.000000,2297.464111,700
